Run,Mean Queuing Time Receptionist,Mean Queuing Time Consultation,Mean Queuing Time Surgery Booking,Mean Total Time in System 1,Mean Queuing Time Calling,Mean Total Time in System 2
0,194.08368687142482,6.791314477212704,173.21145711824164,206.72794203424533,193.45984729142293,198.13399336981013
1,130.60602974462893,73.2796427138025,106.83110251424442,190.91848439721284,143.76315584561638,151.17289799962796
2,183.85246252650836,14.936112173073779,211.20237898887902,209.14602072303347,188.64934765013373,196.19444568845225
3,235.95612748746348,19.88689067371921,233.34389776931124,258.56018224283844,211.01934393036353,217.85944461075601
4,230.79640310914397,4.981428466152667,186.64579650929488,242.88481740969814,220.7550469588383,225.84231570699149
5,166.33199281040768,14.208563102984982,239.26614772686702,209.69872941987708,197.32054101095872,203.53200326582981
6,215.3540136713101,6.111803190760734,227.25071025269608,232.93662732702035,199.21440495454888,203.97808051648693
7,149.98325039299797,9.653037641650783,121.15745563854394,169.96507050122014,147.5400426792326,148.0344754384258
8,215.4092592587216,19.717313127818404,172.77115745769055,234.21255617301506,216.1265729423344,225.7153969814811
9,272.5173535069315,20.77503255198008,228.46736352678303,286.9559308653074,254.58604872061682,259.0387555117525
10,154.16802417532247,28.16969844100072,152.46515144674632,207.14518300880545,154.6868177265484,161.74530854106789
11,209.1852268592151,15.096007418353048,199.9002484584661,243.66255405110155,218.80543520784835,220.65964791646155
12,153.2638955156874,15.33636582773528,165.3000867869211,186.42510004478538,164.6992938453032,168.12147454107554
13,152.52866524119406,10.724060902540346,175.48022489318075,174.9603687229239,142.9854621047345,145.97071295899164
14,274.18660208077034,9.799164431261326,283.4009986538584,296.1045116441712,269.6594557333982,275.01893184417395
15,245.08048774783205,5.495843292572287,228.6096774399587,251.2925138459379,224.8986326611471,226.79356098987833
16,115.63203762868652,11.603736687276811,147.67206527329313,160.97041587327283,124.75380058572227,127.09563003289807
17,192.175641313277,12.873785057817312,216.66691818340576,217.1126028964921,175.51755801522864,184.3362846385339
18,200.20381072570905,12.935577687198368,181.349180848399,222.38643940135572,201.51735123355508,203.1001710376226
19,188.33035883160613,7.01866855371137,181.10116042150304,196.73197963877956,188.13463342634984,192.7084965919263
20,194.89113653495264,9.158582955450939,185.63061396150147,216.85160676618574,210.64667671466492,212.58916006797332
21,118.59855475334149,6.889787160703125,112.58465429493486,141.26488413217425,124.96366893731387,127.89737697600121
22,152.61638595718608,6.418677248907405,176.7871601543469,151.0508339114511,169.7912748036699,176.194225581927
23,222.7035522966413,13.377299742153673,166.21469614195797,218.0099401229487,255.73784070805831,263.50838049002334
24,232.0810552185356,3.3404521972331707,188.5072639643053,241.71227799950714,224.1433417048694,225.91304915788916
25,125.59104913037336,28.9250709524039,149.33432729672023,160.7321688421652,134.52074262115613,139.7627906612626
26,214.73464996990745,9.951075772009371,183.18165518775407,207.887370744173,229.35521103071517,230.32087027805952
